Rk,Tm,#1,#2,#3,#4,#5,Closer,#2,#3,#4
21,Philadelphia Phillies,A.Nola (3.61),Z.Eflin (1.27),J.Arrieta (0.69),V.Velasquez (-0.03),N.Pivetta (-0.55),H.Neris (1.73),J.Alvarez (0.76),J.Nicasio (-0.09),E.García (-0.18)
22,Pittsburgh Pirates,J.Musgrove (1.69),T.Williams (0.38),C.Archer (0.71),S.Brault (0.67),J.Lyles (0.16),F.Vazquez (2.91),R.Rodríguez (0.85),F.Liriano (1.00),M.Feliz (0.65)
23,San Diego Padres,J.Lucchesi (2.33),E.Lauer (1.36),C.Paddack (2.90),C.Quantrill (0.37),M.Strahm (0.95),K.Yates (2.96),C.Stammen (1.08),L.Perdomo (0.73),T.Wingenter (-0.38)
24,Seattle Mariners,M.Gonzales (2.93),Y.Kikuchi (0.12),M.Leake (1.55),F.Hernández (-0.76),E.Swanson (-0.34),R.Elías (-0.16),A.Bass (0.89),B.Brennan (0.35),C.Gearrin (0.66)
25,San Francisco Giants,M.Bumgarner (2.87),J.Samardzija (3.41),T.Beede (0.23),D.Pomeranz (-0.15),S.Anderson (-0.27),W.Smith (2.24),T.Watson (0.37),R.Moronta (1.45),M.Melancon (0.68)
26,St. Louis Cardinals,J.Flaherty (5.75),M.Mikolas (1.68),D.Hudson (2.11),A.Wainwright (1.67),M.Wacha (0.15),C.Martinez (0.81),J.Brebbia (0.69),A.Miller (-0.49),J.Gant (0.59)
27,Tampa Bay Rays,C.Morton (4.91),R.Stanek (0.83),B.Snell (1.37),Y.Chirinos (2.11),R.Yarbrough (1.39),E.Pagán (2.29),C.Roe (-0.02),D.Castillo (0.47),A.Kolarek (0.47)
28,Texas Rangers,M.Minor (8.02),L.Lynn (7.73),A.Jurado (-0.05),A.Sampson (1.21),J.Chavez (0.79),J.Leclerc (1.45),S.Kelley (0.87),B.Martin (0.66),C.Martin (1.55)
29,Toronto Blue Jays,T.Thornton (1.21),A.Sanchez (-0.62),M.Stroman (2.84),W.Font (0.76),J.Waguespack (0.66),K.Giles (2.33),T.Mayza (0.07),D.Law (-0.05),J.Biagini (0.60)
30,Washington Nationals (W),P.Corbin (4.97),S.Strasburg (5.63),A.Sánchez (3.14),M.Scherzer (5.22),E.Fedde (0.81),S.Doolittle (0.76),W.Suero (0.47),M.Grace (-0.59),T.Rainey (0.50)
