Rk,Tm,#1,#2,#3,#4,#5,Closer,#2,#3,#4
1,Arizona Diamondbacks,M.Kelly (3.55),Z.Gallen (5.08),M.Bumgarner (-0.75),Z.Davies (0.69),H.Castellanos (-0.42),M.Melancon (-0.84),I.Kennedy (-1.12),J.Mantiply (0.90),N.Ramirez (-0.83)
2,Atlanta Braves,C.Morton (1.61),M.Fried (5.91),K.Wright (3.62),I.Anderson (-0.12),S.Strider (3.70),K.Jansen (0.91),A.Minter (1.87),J.Stephens (0.00),C.McHugh (1.97)
3,Baltimore Orioles,J.Lyles (0.96),K.Bradish (0.35),T.Wells (1.20),D.Kremer (2.81),S.Watkins (0.13),J.López (1.86),F.Bautista (2.60),D.Tate (1.31),B.Baker (1.17)
4,Boston Red Sox,N.Pivetta (2.61),R.Hill (0.86),M.Wacha (3.33),N.Eovaldi (1.52),J.Winckowski (-0.32),M.Barnes (0.21),R.Brasier (-0.81),J.Schreiber (2.68),M.Strahm (0.28)
5,Chicago Cubs,M.Stroman (2.55),J.Steele (2.01),D.Smyly (1.88),A.Sampson (2.08),K.Thompson (1.17),D.Robertson (1.95),R.Wick (0.01),B.Hughes (1.36),S.Effross (0.74)
6,Chicago White Sox,D.Cease (6.42),L.Giolito (0.46),M.Kopech (2.24),J.Cueto (3.49),L.Lynn (0.80),L.Hendriks (1.73),J.Ruiz (0.28),K.Graveman (0.98),R.López (1.49)
7,Cincinnati Reds,H.Greene (2.25),G.Ashcraft (1.08),T.Mahle (2.10),N.Lodolo (2.77),M.Minor (-0.56),H.Strickland (0.11),A.Díaz (3.12),J.Kuhnel (-0.38),A.Warren (-0.78)
8,Cleveland Guardians,C.Quantrill (1.90),S.Bieber (3.50),T.McKenzie (3.92),Z.Plesac (-0.77),A.Civale (-0.82),E.Clase (2.80),T.Stephan (1.01),S.Hentges (1.28),B.Shaw (-0.95)
9,Colorado Rockies,G.Márquez (1.45),K.Freeland (2.44),C.Kuhl (-0.04),R.Feltner (0.05),A.Senzatela (0.48),D.Bard (3.77),C.Estévez (1.14),A.Colomé (-0.89),L.Gilbreath (0.60)
10,Detroit Tigers,T.Skubal (1.24),D.Hutchison (-0.04),T.Alexander (-0.35),E.Rodriguez (0.10),B.Brieske (0.68),G.Soto (-0.10),A.Lange (0.36),J.Foley (0.27),J.Jiménez (0.42)
11,Houston Astros (W),F.Valdez (3.66),J.Verlander (5.91),J.Urquidy (1.22),L.Garcia (1.35),C.Javier (3.69),R.Pressly (0.89),R.Montero (1.27),H.Neris (0.50),P.Maton (-0.25)
12,Kansas City Royals,K.Bubic (-0.30),D.Lynch (0.56),Z.Greinke (2.55),B.Singer (4.53),B.Keller (0.22),S.Barlow (2.82),D.Coleman (1.66),A.Garrett (0.02),J.Staumont (-0.74)
13,Los Angeles Angels,S.Ohtani (6.19),P.Sandoval (3.48),R.Detmers (2.40),J.Suarez (1.64),M.Lorenzen (1.05),R.Iglesias (0.19),A.Loup (-0.88),R.Tepera (0.65),J.Herget (2.34)
14,Los Angeles Dodgers,J.Urías (4.88),T.Anderson (4.28),T.Gonsolin (4.62),C.Kershaw (3.75),A.Heaney (0.68),C.Kimbrel (0.19),P.Bickford (-0.27),E.Phillips (2.76),A.Vesia (1.52)
15,Miami Marlins,S.Alcantara (8.04),P.López (2.99),T.Rogers (-0.55),J.Luzardo (2.04),B.Garrett (1.27),T.Scott (0.03),D.Floro (0.81),R.Bleier (0.62),S.Okert (0.91)
