Rk,Tm,#1,#2,#3,#4,#5,Closer,#2,#3,#4
16,Milwaukee Brewers,C.Burnes (4.03),E.Lauer (1.53),B.Woodruff (2.70),A.Houser (-0.84),A.Ashby (-0.55),J.Hader (-0.05),D.Williams (2.13),B.Boxberger (1.05),H.Milner (0.43)
17,Minnesota Twins,D.Bundy (-0.27),J.Ryan (2.23),C.Archer (0.04),S.Gray (2.36),D.Smeltzer (0.88),E.Pagán (-0.43),C.Thielbar (0.48),J.Duran (2.79),G.Jax (0.89)
18,New York Mets,C.Bassitt (3.19),T.Walker (2.55),C.Carrasco (1.24),M.Scherzer (5.24),D.Peterson (0.85),E.Díaz (3.17),A.Ottavino (2.25),S.Lugo (0.74),J.Rodríguez (-0.20)
19,New York Yankees,G.Cole (2.41),J.Taillon (1.25),N.Cortes (4.22),J.Montgomery (0.85),L.Severino (1.60),C.Holmes (1.31),W.Peralta (1.06),L.Luetge (0.70),A.Chapman (-0.19)
20,Oakland Athletics,C.Irvin (2.06),J.Kaprielian (1.20),P.Blackburn (1.35),F.Montas (1.70),A.Oller (-0.99),D.Jiménez (0.37),D.Acevedo (1.18),A.Puk (1.14),Z.Jackson (0.95)
21,Philadelphia Phillies (RU),A.Nola (6.00),K.Gibson (0.65),R.Suárez (2.46),Z.Wheeler (5.07),B.Falter (1.26),C.Knebel (0.57),A.Bellatti (0.83),S.Domínguez (1.45),B.Hand (0.91)
22,Pittsburgh Pirates,M.Keller (2.01),J.Brubaker (0.16),Z.Thompson (-0.28),B.Wilson (-1.08),J.Quintana (1.96),D.Bednar (1.33),W.Crowe (0.09),D.Underwood (-0.46),C.De Jong (1.55)
23,San Diego Padres,Y.Darvish (4.39),J.Musgrove (3.15),S.Manaea (-0.89),B.Snell (2.01),M.Clevinger (0.61),T.Rogers (-0.18),T.Hill (0.29),L.García (0.18),N.Crismatt (0.46)
24,Seattle Mariners,R.Ray (2.07),L.Gilbert (3.19),M.Gonzales (-0.11),G.Kirby (1.41),C.Flexen (1.25),P.Sewald (1.58),D.Castillo (-0.02),P.Murfee (1.04),A.Muñoz (1.45)
25,San Francisco Giants,L.Webb (4.73),C.Rodón (5.40),A.Cobb (2.59),A.Wood (0.24),J.Junis (1.62),C.Doval (1.89),T.Rogers (0.88),J.García (0.41),J.Brebbia (1.55)
26,St. Louis Cardinals,M.Mikolas (2.40),A.Wainwright (1.81),D.Hudson (0.09),J.Quintana (1.47),J.Montgomery (0.75),R.Helsley (2.66),G.Gallegos (0.63),G.Cabrera (-0.28),J.Woodford (0.78)
27,Tampa Bay Rays,C.Kluber (0.65),S.McClanahan (3.97),D.Rasmussen (2.92),J.Springs (3.63),R.Yarbrough (-0.03),J.Adam (2.61),C.Poche (-0.19),B.Raley (0.91),S.Armstrong (0.55)
28,Texas Rangers,M.Pérez (4.97),D.Dunning (1.01),G.Otto (0.54),J.Gray (1.35),T.Hearn (-0.49),J.Barlow (0.22),M.Moore (2.41),D.Santana (-0.77),B.Martin (-0.12)
29,Toronto Blue Jays,J.Berríos (-0.54),A.Manoah (5.92),K.Gausman (3.00),R.Stripling (2.71),Y.Kikuchi (-1.05),J.Romano (2.88),A.Cimber (0.86),D.Phelps (1.15),T.Mayza (0.64)
30,Washington Nationals,P.Corbin (-2.45),J.Gray (0.46),E.Fedde (-0.73),P.Espino (0.47),A.Sánchez (0.85),K.Finnegan (0.95),S.Cishek (0.31),E.Ramírez (1.50),A.Machado (0.11)
